Jintra	DeltaJ	Freq1	Freq2	Freq3
-19.400000	-1.590000	0.000000	19.429822	19.429822
-19.400000	-2.086667	0.000000	19.451310	19.451310
-19.400000	-2.583333	0.000000	19.478541	19.478541
-19.400000	-3.080000	0.000000	19.511470	19.511470
-19.400000	-3.576667	0.000000	19.550043	19.550043
-19.400000	-4.073333	0.000000	19.594199	19.594199
-19.400000	-4.570000	0.000000	19.643866	19.643866
-19.400000	-5.066667	0.000000	19.698965	19.698965
-19.400000	-5.563333	0.000000	19.759409	19.759409
-19.400000	-6.060000	0.000000	19.825104	19.825104
-19.400000	-6.556667	0.000000	19.895947	19.895947
-19.400000	-7.053333	0.000000	19.971830	19.971830
